train_loss,train_adversarial_acc,train_helper_acc,train_clean_acc,epoch,lr,test_clean_acc,test_adversarial_acc
1.6742527009276174,0.38336397063396777,0.30243765987703564,0.4029132033248082,1,0.00839999999999999,0.38115234375,
1.2955954846213846,0.5368765984349848,0.42727781332972103,0.5567734974729436,2,0.011568106807057277,0.4873046875,
1.1030576277876754,0.6114450127572355,0.47935981457800514,0.6281969309462916,3,0.020873282372258467,0.6099609375,
0.9896919879766987,0.6505634591097722,0.4970388427719741,0.6674792199488491,4,0.0357306102263778,0.65283203125,
0.8892017208096926,0.6902973145780051,0.5202165921325879,0.7050951086651639,5,0.05520616970454792,0.70908203125,
0.8050789730933011,0.7195572250944269,0.5281090154062451,0.7336676789976447,6,0.07807574151006164,0.75361328125,
0.7504909626968072,0.7392223465168263,0.5458160166240409,0.7522498401229644,7,0.10290176123594409,0.73642578125,
0.70973205147192,0.7541240409512044,0.558284047314578,0.7670875959993934,8,0.12812368360271698,0.77080078125,
0.6826603363846879,0.7641823849714625,0.5627477621788259,0.7760629795701303,9,0.15215607718305402,0.73671875,
0.6661511722885435,0.7710358056875751,0.5701766305262476,0.7826526535441504,10,0.17348828345132533,0.76884765625,
0.6580510507611668,0.7739649936366264,0.5670476342406114,0.7855738491353477,11,0.19077937566372022,0.7353515625,
0.6440942090795473,0.7794357417794444,0.5741927750275263,0.7902293798258847,12,0.20294244852381918,0.7013671875,
0.6295537751958803,0.7838115410121811,0.578208919528805,0.7967151534526854,13,0.20921294024743936,0.72646484375,
0.6208720263617727,0.7869405371453756,0.579303868286445,0.7984854539337061,14,0.2099069530337817,0.76533203125,
0.6075477839430885,0.7916640026490097,0.5822890025880331,0.8036045397029203,15,0.20916922490581075,0.736328125,
0.5963304747858316,0.7958959398976982,0.5884550831202046,0.8092071612167846,16,0.2077008274566086,0.72470703125,
0.5913686016026665,0.7982456841127342,0.5899176791195979,0.810090313329721,17,0.20551206043923928,0.804296875,
0.5800644137212992,0.8017982736877773,0.5883671674886932,0.8131074169102837,18,0.20261827648170272,0.752734375,
0.5708241068646122,0.8059343030995421,0.5888027493911021,0.8164242327670612,19,0.1990397733992801,0.733203125,
0.5665634400247003,0.8069892903727949,0.5901334718670077,0.816911764766859,20,0.19480165181994377,0.79951171875,
0.5599681228170614,0.8090593031300303,0.5904052109669542,0.8214793798258847,21,0.18993363912148656,0.79931640625,
0.5503785178789398,0.8132952366338666,0.5971307545671682,0.8242007672329388,22,0.18446988091532582,0.7458984375,
0.5427830666684739,0.8152613491963243,0.5948769181890561,0.8257912405006721,23,0.178448701539573,0.8033203125,
0.5393755259873617,0.8149536445622554,0.5922914002557544,0.8267063618925832,24,0.17191233524133753,0.791796875,
0.5284822311852594,0.8177030051455778,0.5995564258007138,0.8304227941176471,25,0.16490662993382887,0.79736328125,
0.5258027780848695,0.8199528452685422,0.5978860294117647,0.8326126917853685,26,0.15748072560618684,0.7951171875,
0.5169936642622399,0.8232696611253197,0.5958399935756498,0.8354579603580563,27,0.14968670964176498,0.8115234375,
0.5106339059827273,0.825655370874478,0.5993206522348896,0.8366967710997443,28,0.14157925146256092,0.8046875,
0.5051758403287214,0.8254915282244573,0.601442615089514,0.8382632672939154,29,0.13321521906250114,0.80478515625,
0.48793261785946235,0.8333399936061381,0.607644661155808,0.8447090792838875,30,0.1246532801193231,0.840234375,0.0
0.4815312638459608,0.8347866048898234,0.6094229539946827,0.8468350383936597,31,0.1159534904829685,0.79853515625,
0.4740681939417749,0.8374560421994884,0.606525735324606,0.8487811701377029,32,0.10717687292694617,0.82900390625,
0.46600951006650315,0.8403412724090049,0.6115129475703325,0.8520620204603581,33,0.09838498911742055,0.8193359375,
0.448473460076715,0.8454084079283888,0.6057065217696187,0.858076246803069,34,0.08963950780235574,0.83955078125,
0.4422992382512983,0.8482376917853685,0.6128836316830667,0.8586996484290609,35,0.08100177224955718,0.83837890625,
0.4215625454016659,0.8549912084094093,0.6151134911400583,0.8664162404396955,36,0.07253236996772339,0.83310546875,
0.4099733211347819,0.8615648976677214,0.6223705243271636,0.8721267584034854,37,0.06429070772860428,0.85986328125,
0.38905368787248423,0.8645500319693095,0.6245484335343247,0.8760909526549336,38,0.056334594871181046,0.85712890625,
0.36665228569446623,0.8718270461272706,0.6255354859944805,0.884171195652174,39,0.04871983781068938,0.86201171875,
0.3443776104608765,0.8810781650531018,0.631158088326759,0.892559143283483,40,0.041499848596713206,0.8671875,
